編號,車位類別,車位價格,車位面積平方公尺
RPUNMLRKLHKFFAE18CA,坡道機械,0,9.36
RPPNMLTKLHKFFAE87CA,坡道平面,490000,26.50
RPUNMLOLLHKFFAE97CA,坡道機械,0,8.33
RPQNMLQLLHKFFAE77CA,坡道平面,0,33.37
RPQOMLQKLHKFFBE87CA,坡道機械,0,
RPSNMLMLLHKFFCE77CA,坡道平面,0,
RPXNMLNLLHKFFCE38CA,坡道平面,0,
RPVNMLMJMHKFFCE97CA,坡道平面,0,
RPSNMLSKLHKFFDE38CA,坡道平面,0,23.53
RPVOMLSKLHKFFDE78CA,坡道機械,0,
RPTNMLTKLHKFFDE58CA,坡道平面,0,
RPTNMLTKLHKFFDE58CA,坡道平面,0,
RPOOMLNLLHKFFDE67CA,坡道機械,0,11.71
RPROMLNLLHKFFDE97CA,坡道機械,0,11.71
RPSOMLNLLHKFFDE08CA,坡道平面,0,19.29
RPVOMLOLLHKFFDE48CA,坡道平面,0,27.02
RPSNMLPLLHKFFDE18CA,坡道平面,0,22.93
RPTOMLQLLHKFFDE48CA,坡道機械,0,11.71
RPUOMLQLLHKFFDE58CA,坡道平面,0,19.29
RPVOMLQLLHKFFDE68CA,坡道機械,0,11.71
RPWNMLLJMHKFFDE08CA,坡道平面,0,19.29
RPOOMLLJMHKFFDE37CA,坡道平面,0,15.16
RPSNMLRKLHKFFEE38CA,坡道平面,0,22.90
RPPOMLRKLHKFFEE18CA,坡道平面,0,16.02
RPQNMLTKLHKFFEE38CA,坡道平面,0,
RPPOMLTKLHKFFEE38CA,坡道機械,0,
RPPPMLKLLHKFFEE67CA,坡道平面,0,
RPOOMLOLLHKFFEE87CA,坡道平面,1050000,19.11
RPVNMLOLLHKFFEE48CA,坡道平面,1050000,19.11
RPXNMLQLLHKFFEE88CA,坡道平面,1150000,19.11
RPOOMLQLLHKFFEE08CA,坡道平面,1150000,19.11
RPQOMLQLLHKFFEE28CA,坡道平面,1150000,17.40
RPROMLQLLHKFFEE38CA,坡道平面,1050000,19.11
RPSOMLKMLHKFFEE97CA,坡道平面,0,23.40
RPSPMLLMLHKFFEE18CA,坡道機械,0,18.67
RPTPMLLMLHKFFEE28CA,坡道平面,0,22.57
RPOPMLKKMHKFFEE57CA,坡道機械,0,
RPVNMLKMLHKFFFE28CA,坡道平面,0,
RPXNMLRKLHKFFGE09CA,坡道平面,0,24.31
RPOOMLKMLHKFFGE77CA,一樓平面,0,
RPUNMLSJMHKFFGE88CA,坡道平面,0,
RPSNMLNKMHKFFGE28CA,坡道平面,0,
RPTNMLOKMHKFFGE48CA,坡道機械,0,
RPUNMLTJMHKFFLE86CA,坡道平面,0,
RPTNMLSKLHKFFDE58DA,坡道機械,0,
RPSQMLSKLHKFFEE88DA,坡道平面,0,17.53
RPSQMLSKLHKFFEE88DA,坡道平面,0,17.53
RPRNMLKLLHKFFCE57DA,坡道平面,0,
RPPOMLNLLHKFFBE67DA,坡道機械,800000,7.81
RPWOMLSKLHKFFLE07CA,升降機械,0,
RPUNMLNLLHKFFIE68CA,坡道平面,0,18.85
RPXNMLKMLHKFFGE58CA,坡道平面,0,33.98
RPQNMLRLLHKFFGE48CA,坡道平面,0,16.59
RPUNMLSKLHKFFGE88CA,坡道平面,0,18.12
RPUNMLSKLHKFFGE88CA,坡道平面,0,18.12
RPXNMLLKMHKFFEE38CA,坡道平面,0,26.11
RPROMLLJMHKFFEE77CA,坡道平面,0,19.14
RPSNMLKMLHKFFEE87CA,坡道平面,0,
RPQNMLLMLHKFFEE77CA,坡道平面,0,22.36
RPPQMLQLLHKFFEE38CA,坡道機械,0,
RPVNMLRLLHKFFEE78CA,坡道平面,0,18.66
RPPOMLOLLHKFFEE97CA,一樓平面,0,
RPSNMLKLLHKFFEE77CA,坡道平面,0,
RPPPMLTKLHKFFEE48CA,坡道平面,0,
RPQPMLTKLHKFFEE58CA,坡道平面,0,
RPTPMLTKLHKFFEE88CA,坡道平面,0,
RPXNMLTKLHKFFEE09CA,坡道平面,1550000,29.30
RPVQMLSKLHKFFEE09CA,坡道平面,0,12.99
RPXOMLKKMHKFFDE28CA,坡道平面,0,
RPRNMLTJMHKFFDE38CA,升降平面,0,
RPXNMLTKLHKFFDE98CA,坡道平面,0,
RPUNMLRLLHKFFCE48CA,坡道平面,0,23.53
RPUNMLRLLHKFFCE48CA,坡道平面,0,23.53
RPRNMLLJMHKFFCE47CA,坡道平面,0,23.32
RPSPMLKLLHKFFCE77CA,坡道平面,0,15.13
RPTNMLKLLHKFFCE67CA,坡道機械,850000,12.64
RPUNMLKLLHKFFCE77CA,坡道機械,850000,12.64
RPWNMLKLLHKFFCE97CA,坡道機械,850000,12.64
RPXNMLKLLHKFFCE08CA,坡道機械,850000,12.64
RPRNMLSKLHKFFCE18CA,坡道平面,0,41.03
RPRNMLSKLHKFFCE18CA,坡道機械,0,34.49
RPRNMLKMLHKFFBE47CA,坡道機械,0,6.91
RPPNMLRJMHKFFAE67CA,坡道平面,0,37.85
RPQNMLRJMHKFFAE77CA,坡道平面,0,33.37
RPQNMLRJMHKFFAE77CA,坡道平面,0,33.37
RPTOMLRJMHKFFAE18CA,坡道平面,0,15.49
RPPOMLLJMHKFFAE17CA,坡道平面,1950000,20.49
RPRNMLSKLHKFFAE97CA,坡道平面,0,16.66
RPSOMLSKLHKFFAE18CA,坡道機械,0,6.57
RPTNMLKLLHKFFAE47CA,坡道機械,0,
RPVNMLKLLHKFFAE67CA,坡道平面,0,
RPWNMLKLLHKFFAE77CA,坡道平面,800000,15.00
RPPOMLKLLHKFFAE17CA,坡道平面,0,15.50
RPQOMLKLLHKFFAE27CA,坡道機械,0,
RPWNMLTKLHKFFAE58CA,坡道平面,0,18.79
RPWNMLTKLHKFFAE58CA,坡道平面,0,16.22
RPWNMLOLLHKFFAE18CA,坡道平面,1500000,14.93
RPWNMLOLLHKFFAE18CA,坡道平面,1500000,14.93
RPXNMLOLLHKFFAE28CA,坡道機械,0,6.71
RPOOMLTKLHKFFAE87CA,坡道平面,0,24.24
RPQOMLLJMHKFFAE27CA,坡道機械,1180000,13.26
RPQOMLRLLHKFFAE97CA,坡道平面,0,22.02
RPQOMLRLLHKFFAE97CA,坡道平面,0,22.02
RPPNMLKLLHKFFBE17CA,坡道機械,0,
RPQNMLKLLHKFFBE27CA,坡道平面,0,18.87
RPQNMLKLLHKFFBE27CA,坡道平面,0,21.57
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPTNMLKKMHKFFBE57CA,坡道平面,0,19.14
RPQNMLKMLHKFFBE37CA,升降平面,0,
RPRPMLKLLHKFFCE67CA,坡道平面,0,
RPRNMLOLLHKFFCE87CA,其他,0,
RPTNMLSJMHKFFCE38CA,升降機械,600000,6.37
RPUNMLSJMHKFFCE48CA,升降機械,600000,6.37
RPTNMLKLLHKFFDE77CA,坡道平面,0,23.29
RPPNMLMLLHKFFDE57CA,坡道平面,0,
RPOPMLSKLHKFFDE18CA,坡道平面,0,23.72
RPRNMLNLLHKFFDE87CA,坡道平面,0,27.45
RPXOMLOLLHKFFDE68CA,坡道平面,0,27.02
RPSNMLPKMHKFFCE08CA,坡道平面,0,
RPWNMLTKLHKFFEE98CA,坡道平面,0,23.17
RPWOMLKLLHKFFEE28CA,坡道平面,0,
RPTNMLKLLHKFFEE87CA,坡道平面,0,10.36
RPUNMLKLLHKFFEE97CA,坡道平面,0,10.36
RPWNMLMLLHKFFEE38CA,坡道平面,0,
RPQNMLQKMHKFFEE18CA,坡道機械,820000,16.71
RPSNMLOKMHKFFEE18CA,坡道平面,0,
RPTNMLOKMHKFFEE28CA,坡道平面,0,
RPUNMLOKMHKFFEE38CA,坡道平面,0,
RPUNMLOKMHKFFEE38CA,坡道平面,0,
RPWNMLLJMHKFFEE18CA,坡道機械,0,
RPQNMLTKLHKFFGE58CA,坡道平面,0,
RPRNMLTKLHKFFGE68CA,一樓平面,0,
RPSNMLKMLHKFFIE28CA,坡道平面,0,
RPSNMLKMLHKFFIE28CA,坡道平面,0,
RPPNMLRJMHKFFIE48CA,坡道平面,0,36.50
RPQNMLRJMHKFFIE58CA,坡道平面,0,36.50
RPUNMLNKMHKFFIE68CA,坡道平面,0,
RPTNMLRJMHKFFIE88CA,坡道平面,0,33.08
RPQNMLLLLHKFFFE87DA,一樓平面,0,
RPSNMLKLLHKFFLE48CA,坡道平面,0,
RPSOMLNKMHKFFGE38CA,坡道平面,0,27.76
RPVNMLQKMHKFFGE88CA,坡道平面,0,
RPWNMLQKMHKFFGE98CA,坡道平面,0,
RPVNMLRLLHKFFGE98CA,坡道平面,0,27.25
RPUOMLTKLHKFFGE09CA,坡道平面,0,23.44
RPVOMLTKLHKFFGE56CA,坡道平面,0,25.58
RPWNMLMJMHKFFEE28CA,坡道平面,0,
RPWOMLSJMHKFFEE98CA,坡道平面,1200000,26.53
RPXOMLSJMHKFFEE09CA,坡道機械,950000,13.36
RPOOMLLKMHKFFEE57CA,坡道機械,0,18.67
RPPOMLLKMHKFFEE67CA,坡道平面,0,26.11
RPQOMLLKMHKFFEE77CA,坡道平面,0,22.57
RPROMLLKMHKFFEE87CA,坡道機械,0,18.67
RPSOMLLKMHKFFEE97CA,坡道機械,0,18.67
RPUNMLLKMHKFFEE08CA,坡道平面,0,
RPOOMLMLLHKFFEE67CA,坡道平面,0,
RPQNMLRKMHKFFDE18CA,坡道平面,0,
RPRNMLRKMHKFFDE28CA,坡道平面,0,
RPSNMLRKMHKFFDE38CA,坡道平面,0,
RPTNMLRKMHKFFDE48CA,坡道平面,0,
RPUNMLRKMHKFFDE58CA,坡道平面,0,
RPVNMLRKMHKFFDE68CA,坡道平面,0,
RPWNMLRKMHKFFDE78CA,坡道平面,0,
RPXNMLRKMHKFFDE88CA,坡道平面,0,
RPQOMLNKMHKFFDE87CA,坡道平面,0,
RPQOMLNKMHKFFDE87CA,坡道平面,0,
RPPOMLRLLHKFFDE18CA,坡道機械,0,
RPVNMLQLLHKFFDE58CA,坡道平面,0,26.34
RPXNMLPLLHKFFDE68CA,坡道機械,0,
RPTNMLPLLHKFFDE28CA,坡道機械,0,
RPPNMLMJMHKFFCE37CA,坡道平面,0,
RPTPMLKLLHKFFCE87CA,坡道平面,0,15.13
RPXOMLKLLHKFFCE18CA,坡道平面,0,
RPPNMLQKMHKFFBE77CA,坡道平面,580000,13.32
RPQNMLQKMHKFFBE87CA,坡道平面,600000,13.32
RPVNMLRLLHKFFBE48CA,坡道機械,0,
RPUOMLLJMHKFFBE77CA,坡道平面,1600000,31.06
RPUNMLNLLHKFFBE97CA,升降平面,0,
RPSPMLRKMHKFFAE28CA,坡道機械,0,11.24
RPOOMLKMLHKFFAE17CA,升降機械,0,9.99
RPWOMLLMLHKFFAE08CA,坡道機械,0,
RPXNMLTKLHKFFAE68CA,坡道平面,0,26.54
RPSNMLQLLHKFFAE97CA,坡道平面,0,26.17
RPSNMLOKMHKFFAE77CA,坡道平面,0,
RPQOMLNKMHKFFAE57CA,坡道平面,0,
RPVOMLLMLHKFFAE97CA,坡道平面,0,13.04
RPXOMLRJMHKFFAE58CA,坡道平面,0,38.22
RPXNMLKMLHKFFBE08CA,坡道平面,0,
RPPNMLRLLHKFFBE87CA,坡道平面,0,12.65
RPSOMLSJMHKFFBE28CA,升降機械,370000,
RPXNMLPLLHKFFCE58CA,坡道平面,0,
RPVNMLPLLHKFFCE38CA,坡道平面,0,
RPVNMLPLLHKFFCE38CA,坡道平面,0,
RPXNMLRLLHKFFCE78CA,坡道平面,0,35.50
RPRNMLSJMHKFFCE18CA,升降機械,650000,6.37
RPSNMLSJMHKFFCE28CA,升降機械,550000,6.37
RPVNMLNKMHKFFCE18CA,坡道機械,0,
RPTNMLPKMHKFFCE18CA,坡道機械,0,
RPUNMLPKMHKFFCE28CA,坡道平面,0,35.55
RPSNMLQLLHKFFDE28CA,坡道平面,0,
RPSOMLRLLHKFFDE48CA,坡道平面,0,18.22
RPSOMLRLLHKFFDE48CA,坡道平面,0,18.22
RPPOMLLJMHKFFDE47CA,坡道平面,0,19.29
RPQOMLLJMHKFFDE57CA,坡道機械,0,11.71
RPROMLLJMHKFFDE67CA,坡道平面,0,19.29
RPQNMLMKMHKFFDE67CA,坡道平面,0,
RPUNMLPKMHKFFDE38CA,坡道平面,0,
RPUNMLRJMHKFFDE48CA,坡道平面,0,15.16
RPWNMLRJMHKFFDE68CA,坡道平面,0,19.29
RPPOMLRJMHKFFDE08CA,坡道平面,0,19.29
RPOPMLKLLHKFFEE57CA,坡道平面,0,15.00
RPQNMLKMLHKFFEE67CA,坡道平面,0,29.92
RPVOMLNKMHKFFGE68CA,坡道機械,0,
RPPNMLRLLHKFFLE88CA,坡道機械,0,
RPPNMLKLMHKFFCE47DA,坡道平面,0,
RPPNMLKLMHKFFCE47DA,坡道平面,0,
RPSNMLLKMHKFFGE08CA,坡道平面,0,22.35
RPTNMLLKMHKFFGE18CA,坡道平面,0,26.03
RPUNMLLKMHKFFGE28CA,坡道平面,0,22.35
RPRNMLTJMHKFFGE68CA,坡道平面,1100000,43.91
RPQPMLLMLHKFFGE18CA,坡道平面,1200000,43.91
RPPOMLLJMHKFFGE77CA,坡道平面,0,23.00
RPSNMLQLLHKFFGE58CA,坡道機械,0,
RPTNMLOLLHKFFGE48CA,坡道平面,0,23.13
RPVNMLOLLHKFFGE68CA,坡道平面,0,
RPRQMLLMLHKFFEE18CA,坡道平面,0,
RPTQMLMJMHKFFEE28CA,坡道機械,0,14.05
RPXNMLSJMHKFFEE98CA,坡道平面,0,
RPOQMLQKMHKFFEE28CA,坡道平面,0,
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPSNMLKLMHKFFEE87CA,坡道平面,0,20.02
RPUNMLKLMHKFFEE08CA,坡道平面,0,20.02
RPUNMLKLMHKFFEE08CA,坡道平面,0,20.02
RPWNMLKLMHKFFEE28CA,坡道平面,0,20.02
RPWNMLKLMHKFFEE28CA,坡道平面,0,16.89
RPXNMLKLMHKFFEE38CA,坡道平面,0,20.02
RPXNMLKLMHKFFEE38CA,坡道平面,0,20.02
RPOOMLKLMHKFFEE57CA,坡道平面,0,16.89
RPOOMLKLMHKFFEE57CA,坡道平面,0,16.89
RPPOMLKLMHKFFEE67CA,坡道平面,0,16.89
RPPOMLKLMHKFFEE67CA,坡道平面,0,27.74
RPQOMLKLMHKFFEE77CA,坡道平面,0,16.89
RPQOMLKLMHKFFEE77CA,坡道平面,0,20.02
RPVOMLKLMHKFFEE28CA,坡道平面,0,20.02
RPVOMLKLMHKFFEE28CA,坡道平面,0,20.02
RPXNMLRLLHKFFEE98CA,坡道平面,950000,17.40
RPOOMLRLLHKFFEE18CA,坡道平面,1050000,19.11
RPOSMLQLLHKFFEE48CA,坡道機械,0,20.56
RPQSMLQLLHKFFEE68CA,坡道平面,240000,7.44
RPVOMLLMLHKFFEE38CA,其他,0,
RPPNMLSLLHKFFEE28CA,坡道機械,0,
RPTOMLNLLHKFFEE28CA,坡道平面,0,13.84
RPSOMLOLLHKFFEE28CA,坡道平面,0,
RPWOMLOLLHKFFEE68CA,坡道平面,0,17.09
RPQOMLSJMHKFFDE28CA,坡道平面,0,
RPVNMLPKMHKFFDE48CA,坡道平面,0,
RPTNMLOKMHKFFDE18CA,坡道平面,0,
RPUNMLOKMHKFFDE28CA,坡道平面,0,
RPVNMLOKMHKFFDE38CA,坡道平面,0,
